bioguide,name,last,first,state,party,house_end,n_house_terms
R000574,"Renzi, Rick",renzi,rick,AZ,R,2009-01-03,3
B001253,"Bean, Melissa",bean,melissa,IL,D,2011-01-03,3
M001161,"Melancon, Charles",melancon,charles,LA,D,2011-01-03,3
S001158,"Salazar, John",salazar,john,CO,D,2011-01-03,3
G000554,"Giffords, Gabrielle",giffords,gabrielle,AZ,D,2012-01-25,3
A000362,"Altmire, Jason",altmire,jason,PA,D,2013-01-03,3
R000581,"Richardson, Laura",richardson,laura,CA,D,2013-01-03,3
S001171,"Shuler, Heath",shuler,heath,NC,D,2013-01-03,3
S001174,"Sutton, Betty",sutton,betty,OH,D,2013-01-03,3
O000169,"Owens, William",owens,william,NY,D,2015-01-03,3
H001063,"Hahn, Janice",hahn,janice,CA,D,2016-12-04,3
D000607,"Donnelly, Joe",donnelly,joe,IN,D,2013-01-03,3
H001041,"Heller, Dean",heller,dean,NV,R,2011-05-09,3
B001240,"Beauprez, Bob",beauprez,bob,CO,R,2007-01-03,2
B001246,"Bradley, Jeb",bradley,jeb,NH,R,2007-01-03,2
C001052,"Chocola, Chris",chocola,chris,IN,R,2007-01-03,2
H001035,"Harris, Katherine",harris,katherine,FL,R,2007-01-03,2
D000605,"Drake, Thelma",drake,thelma,VA,R,2009-01-03,2
F000452,"Fortuño, Luis",fortuno,luis,PR,R,2009-01-03,2
J000287,"Jindal, Bobby",jindal,bobby,LA,R,2008-01-14,2
K000364,"Kuhl, John",kuhl,john,NY,R,2009-01-03,2
A000363,"Arcuri, Michael",arcuri,michael,NY,D,2011-01-03,2
C001065,"Carney, Christopher",carney,christopher,PA,D,2011-01-03,2
C001074,"Childers, Travis",childers,travis,MS,D,2011-01-03,2
E000289,"Ellsworth, Brad",ellsworth,brad,IN,D,2011-01-03,2
F000453,"Fallin, Mary",fallin,mary,OK,R,2011-01-03,2
H001040,"Hare, Phil",hare,phil,IL,D,2011-01-03,2
H001043,"Hodes, Paul",hodes,paul,NH,D,2011-01-03,2
K000365,"Kagen, Steve",kagen,steve,WI,D,2011-01-03,2
K000366,"Klein, Ron",klein,ron,FL,D,2011-01-03,2
M001167,"Mitchell, Harry",mitchell,harry,AZ,D,2011-01-03,2
S001169,"Sestak, Joe",sestak,joe,PA,D,2011-01-03,2
S001173,"Space, Zachary",space,zachary,OH,D,2011-01-03,2
W000801,"Wilson, Charles",wilson,charles,OH,D,2011-01-03,2
L000568,"Lee, Christopher",lee,christopher,NY,R,2011-02-09,2
A000365,"Austria, Steve",austria,steve,OH,R,2013-01-03,2
C001081,"Critz, Mark",critz,mark,PA,D,2013-01-03,2
K000369,"Kissell, Larry",kissell,larry,NC,D,2013-01-03,2
G000567,"Griffin, Tim",griffin,tim,AR,R,2015-01-03,2
R000594,"Runyan, Jon",runyan,jon,NJ,R,2015-01-03,2
S001186,"Southerland, Steve",southerland,steve,FL,R,2015-01-03,2
B001279,"Barber, Ron",barber,ron,AZ,D,2015-01-03,2
S000937,"Stockman, Steve",stockman,steve,TX,R,2015-01-03,2
M001171,"Maffei, Daniel",maffei,daniel,NY,D,2015-01-03,2
G000569,"Grimm, Michael",grimm,michael,NY,R,2015-01-03,2
G000562,"Gardner, Cory",gardner,cory,CO,R,2015-01-03,2
S001161,"Schwarz, John",schwarz,john,MI,R,2007-01-03,1
S001160,"Sodrel, Michael",sodrel,michael,IN,R,2007-01-03,1
S001166,"Sekula-Gibbs, Shelley",sekula-gibbs,shelley,TX,R,2007-01-03,1
B001258,"Boyda, Nancy",boyda,nancy,KS,D,2009-01-03,1
D000606,"Davis, David",davis,david,TN,R,2009-01-03,1
M001164,"Mahoney, Tim",mahoney,tim,FL,D,2009-01-03,1
S001167,"Sali, Bill",sali,bill,ID,R,2009-01-03,1
C001073,"Cazayoux, Donald",cazayoux,donald,LA,D,2009-01-03,1
A000364,"Adler, John",adler,john,NJ,D,2011-01-03,1
B001263,"Boccieri, John",boccieri,john,OH,D,2011-01-03,1
B001264,"Bright, Bobby",bright,bobby,AL,D,2011-01-03,1
C001079,"Cao, Anh",cao,anh,LA,R,2011-01-03,1
D000608,"Dahlkemper, Kathleen",dahlkemper,kathleen,PA,D,2011-01-03,1
D000609,"Driehaus, Steve",driehaus,steve,OH,D,2011-01-03,1
G000557,"Griffith, Parker",griffith,parker,AL,R,2011-01-03,1
H001044,"Halvorson, Deborah",halvorson,deborah,IL,D,2011-01-03,1
K000372,"Kilroy, Mary Jo",kilroy,mary jo,OH,D,2011-01-03,1
K000370,"Kosmas, Suzanne",kosmas,suzanne,FL,D,2011-01-03,1
K000371,"Kratovil, Frank",kratovil,frank,MD,D,2011-01-03,1
M001172,"Markey, Betsy",markey,betsy,CO,D,2011-01-03,1
M001173,"Massa, Eric",massa,eric,NY,D,2010-03-08,1
M001174,"McMahon, Michael",mcmahon,michael,NY,D,2011-01-03,1
M001175,"Minnick, Walter",minnick,walter,ID,D,2011-01-03,1
N000183,"Nye, Glenn",nye,glenn,VA,D,2011-01-03,1
P000600,"Perriello, Thomas",perriello,thomas,VA,D,2011-01-03,1
S001178,"Schauer, Mark",schauer,mark,MI,D,2011-01-03,1
T000466,"Teague, Harry",teague,harry,NM,D,2011-01-03,1
M001178,"Murphy, Scott",murphy,scott,NY,D,2011-01-03,1
D000611,"Djou, Charles",djou,charles,HI,R,2011-01-03,1
A000366,"Adams, Sandy",adams,sandy,FL,R,2013-01-03,1
B001272,"Berg, Rick",berg,rick,ND,R,2013-01-03,1
B001276,"Buerkle, Ann Marie",buerkle,ann marie,NY,R,2013-01-03,1
C001082,"Canseco, Francisco",canseco,francisco,TX,R,2013-01-03,1
C001085,"Clarke, Hansen",clarke,hansen,MI,D,2013-01-03,1
