"URL","error_message"
"https://tonko.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://tonko.house.gov"
"https://foushee.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid date node found for https://foushee.house.gov"
"https://foxx.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://foxx.house.gov"
"https://rouzer.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://rouzer.house.gov"
"https://landsman.house.gov","Error in if (!grepl(""^https?://"", pr_page_link)) { : 
  argument is of length zero"
"https://jordan.house.gov","No pressers found in date range"
"https://rulli.house.gov","No pressers found in date range"
"https://maxmiller.house.gov","Error in if (!grepl(""^https?://"", pr_page_link)) { : 
  argument is of length zero"
"https://sykes.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid date node found for https://sykes.house.gov"
"https://joyce.house.gov","Error in if (!grepl(""^https?://"", pr_page_link)) { : 
  argument is of length zero"
"https://carey.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://carey.house.gov"
"https://lucas.house.gov","Error in if (!grepl(""^https?://"", pr_page_link)) { : 
  argument is of length zero"
"https://hoyle.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid date node found for https://hoyle.house.gov"
"https://houlahan.house.gov","Error in if (!grepl(""^https?://"", pr_page_link)) { : 
  argument is of length zero"
"https://perry.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://perry.house.gov"
"https://summerlee.house.gov","Error in if (!grepl(""^https?://"", pr_page_link)) { : 
  argument is of length zero"
"https://reschenthaler.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid date node found for https://reschenthaler.house.gov"
"https://clyburn.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid date node found for https://clyburn.house.gov"
"https://desjarlais.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://desjarlais.house.gov"
"https://gooden.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid date node found for https://gooden.house.gov"
"https://fletcher.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://fletcher.house.gov"
"https://escobar.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://escobar.house.gov"
"https://castro.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid date node found for https://castro.house.gov"
"https://cloud.house.gov","Error in if (!grepl(""^https?://"", pr_page_link)) { : 
  argument is of length zero"
"https://carter.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://carter.house.gov"
"https://babin.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://babin.house.gov"
"https://hunt.house.gov","No pressers found in date range"
"https://blakemoore.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid date node found for https://blakemoore.house.gov"
"https://owens.house.gov","Error in if (!grepl(""^https?://"", pr_page_link)) { : 
  argument is of length zero"
"https://wittman.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://wittman.house.gov"
"https://kiggans.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid date node found for https://kiggans.house.gov"
"https://beyer.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://beyer.house.gov"
"https://morgangriffith.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://morgangriffith.house.gov"
"https://connolly.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://connolly.house.gov"
"https://plaskett.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://plaskett.house.gov"
"https://delbene.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://delbene.house.gov"
"https://gluesenkampperez.house.gov","Error in if (!grepl(""^https?://"", pr_page_link)) { : 
  argument is of length zero"
"https://jayapal.house.gov","Error in xml_text(x, trim = trim) : Unexpected node type"
"https://strickland.house.gov","Error in node_hunter(links[[i]], debug) : 
  No valid PR text node found for https://strickland.house.gov"
"https://gwenmoore.house.gov","Error in node_hunter(links[[i]], debug) : 
  Pagination failed for https://gwenmoore.house.gov"
