bioguide,icpsr,last,first,state,party,chamber
H001076,41702,hassan,margaret,NH,D,Senate
C001113,41700,cortez masto,catherine,NV,D,Senate
S001190,21326,schneider,bradley,IL,D,House
B001302,21705,biggs,andy,AZ,R,House
K000389,21728,khanna,ro,CA,D,House
P000613,21740,panetta,jimmy,CA,D,House
C001112,21709,carbajal,salud,CA,D,House
B001300,21703,barragan,nanette,CA,D,House
C001110,21711,correa,j.,CA,D,House
B001303,21706,blunt rochester,lisa,DE,D,Senate
D000628,21714,dunn,neal,FL,R,House
R000609,21744,rutherford,john,FL,R,House
S001200,21746,soto,darren,FL,D,House
M001199,21735,mast,brian,FL,R,House
K000391,21730,krishnamoorthi,raja,IL,D,House
B001299,21702,banks,jim,IN,R,Senate
M001198,21734,marshall,roger,KS,R,Senate
H001077,21724,higgins,clay,LA,R,House
J000299,21727,johnson,mike,LA,R,House
R000606,21741,raskin,jamie,MD,D,House
B001301,21704,bergman,jack,MI,R,House
B001305,21708,budd,ted,NC,R,Senate
B001298,21701,bacon,don,NE,R,House
G000583,21723,gottheimer,josh,NJ,D,House
R000608,21743,rosen,jacky,NV,D,Senate
E000297,21715,espaillat,adriano,NY,D,House
F000466,21718,fitzpatrick,brian,PA,R,House
S001199,21745,smucker,lloyd,PA,R,House
K000392,21731,kustoff,david,TN,R,House
G000581,21722,gonzalez,vicente,TX,D,House
A000375,21700,arrington,jodey,TX,R,House
J000298,21726,jayapal,pramila,WA,D,House
E000298,21750,estes,ron,KS,R,House
N000190,21753,norman,ralph,SC,R,House
G000585,21754,gomez,jimmy,CA,D,House
C001114,21755,curtis,john,UT,R,Senate
S001203,41706,smith,tina,MN,D,Senate
H001079,41707,hyde-smith,cindy,MS,R,Senate
C001115,21758,cloud,michael,TX,R,House
B001306,21759,balderson,troy,OH,R,House
H001082,21760,hern,kevin,OK,R,House
M001206,21761,morelle,joseph,NY,D,House
S001205,21762,scanlon,mary,PA,D,House
C001055,20322,case,ed,HI,D,House
H001066,21339,horsford,steven,NV,D,House
S001211,21968,stanton,greg,AZ,D,House
H001090,21930,harder,josh,CA,D,House
L000593,21939,levin,mike,CA,D,House
N000191,21948,neguse,joe,CO,D,House
C001121,21912,crow,jason,CO,D,House
H001081,21931,hayes,jahana,CT,D,House
S001214,21971,steube,w.,FL,R,House
M001208,21944,mcbath,lucy,GA,D,House
F000469,21920,fulcher,russ,ID,R,House
G000586,21921,garcia,jesus,IL,D,House
C001117,21906,casten,sean,IL,D,House
U000040,21979,underwood,lauren,IL,D,House
B001307,21903,baird,james,IN,R,House
D000629,21914,davids,sharice,KS,D,House
T000482,21977,trahan,lori,MA,D,House
P000617,21955,pressley,ayanna,MA,D,House
S001208,21965,slotkin,elissa,MI,D,Senate
S001215,21972,stevens,haley,MI,D,House
T000481,21975,tlaib,rashida,MI,D,House
C001119,21910,craig,angie,MN,D,House
O000173,21950,omar,ilhan,MN,D,House
S001212,21969,stauber,pete,MN,R,House
G000591,21927,guest,michael,MS,R,House
P000614,21951,pappas,chris,NH,D,House
V000133,21980,van drew,jefferson,NJ,R,House
K000394,21937,kim,andy,NJ,D,Senate
L000590,21938,lee,susie,NV,D,House
O000172,21949,ocasio-cortez,alexandria,NY,D,House
D000631,21915,dean,madeleine,PA,D,House
H001085,21934,houlahan,chrissy,PA,D,House
M001204,21945,meuser,daniel,PA,R,House
J000302,21936,joyce,john,PA,R,House
R000610,21956,reschenthaler,guy,PA,R,House
T000480,21974,timmons,william,SC,R,House
J000301,21935,johnson,dusty,SD,R,House
B001309,21905,burchett,tim,TN,R,House
R000612,21959,rose,john,TN,R,House
C001120,21911,crenshaw,dan,TX,R,House
G000589,21925,gooden,lance,TX,R,House
F000468,21919,fletcher,lizzie,TX,D,House
E000299,21917,escobar,veronica,TX,D,House
R000614,21961,roy,chip,TX,R,House
G000587,21922,garcia,sylvia,TX,D,House
