bioguide,icpsr,last,first,state,party,chamber
B000370,632,bennet,william,NY,R,House
B000753,964,brady,james,ID,R,Senate
B000896,1092,broussard,robert,LA,D,Senate
B000949,1138,brown,william,WV,D,House
B001001,1183,buchanan,frank,IL,D,House
B001083,1257,burgess,george,TX,D,House
B001095,1268,burke,michael,WI,D,House
C000056,1427,callaway,oscar,TX,D,House
C000277,1622,chamberlain,george,OR,D,Senate
C000323,1663,charles,william,NY,R,House
C000463,1793,clarke,james,AR,D,Senate
C000521,1844,cline,cyrus,IN,D,House
C000622,1934,coleman,william,PA,R,House
C000975,2241,cullop,william,IN,D,House
D000029,2321,danforth,henry,NY,R,House
D000074,2356,davenport,james,OK,D,House
D000110,2390,davis,james,TX,D,House
D000500,2729,driscoll,daniel,NY,D,House
E000015,,earnshaw,manuel,PI,O,House
F000021,3062,farley,michael,NY,D,House
G000023,3439,gallinger,jacob,NH,R,Senate
G000344,3725,goulden,joseph,NY,D,House
G000491,3849,gronna,asle,ND,R,Senate
G000517,3870,guernsey,frank,ME,R,House
H000283,4141,hart,archibald,NJ,D,House
H000382,4225,hay,james,VA,D,House
H000516,4341,henry,robert,TX,D,House
H000630,4442,hinds,asher,ME,R,House
H000785,4578,hopwood,robert,PA,R,House
H000866,4652,howell,joseph,UT,R,House
H000920,4699,hughes,dudley,GA,D,House
H000958,4732,humphrey,william,WA,R,House
H001006,4776,husting,paul,WI,D,Senate
J000128,4950,johnson,edwin,SD,D,Senate
J000156,4975,johnson,joseph,SC,D,House
K000052,5130,keister,abraham,PA,R,House
K000127,5196,kent,william,CA,O,House
K000310,5355,konop,thomas,WI,D,House
L000014,5396,lafean,daniel,PA,R,House
L000302,5657,lieb,charles,IN,D,House
L000303,5658,liebel,michael,PA,D,House
L000320,5673,lindbergh,charles,MN,R,House
L000380,5727,lloyd,james,MO,D,House
L000399,5742,loft,george,NY,D,House
L000449,5785,loud,george,MI,R,House
M000254,6085,matthews,nelson,OH,R,House
M000363,6176,mccorkle,paul,SC,D,House
M000378,6190,mccracken,robert,ID,R,House
M000405,6213,mcdermott,james,IL,D,House
M000448,6252,mcgillicuddy,daniel,ME,D,House
M000753,6507,miller,samuel,PA,R,House
M000758,6512,miller,thomas,DE,R,House
M000888,6622,mooney,william,OH,R,House
M000955,6683,morgan,lewis,LA,D,House
M000998,6724,morrison,martin,IN,D,House
M001034,6755,moss,hunter,WV,R,House
M001037,6758,moss,ralph,IN,D,House
M001118,6829,murray,william,OK,D,House
N000069,6897,newlands,francis,NV,D,Senate
N000141,6962,north,solomon,PA,R,House
O000002,6993,oakey,peter,CT,R,House
O000049,7037,oglesby,woodson,NY,D,House
P000022,7160,page,robert,NC,D,House
P000109,7236,patten,thomas,NY,D,House
P000217,7332,penrose,boies,PA,R,Senate
P000290,7395,phelan,james,CA,D,Senate
Q000009,,quezon,manuel,PI,O,House
R000070,7743,rauch,george,IN,D,House
R000279,,rivera,luis,PR,O,House
R000311,7952,roberts,ernest,MA,R,House
R000493,8102,rucker,tinsley,GA,D,House
R000534,8136,russell,joshua,OH,R,House
S000348,8456,sherman,lawrence,IL,R,Senate
S000371,8478,shively,benjamin,IN,D,Senate
S000540,8623,smith,george,MN,R,House
S000551,8633,smith,hoke,GA,D,Senate
S000577,8658,smith,john,MD,D,Senate
S000589,8665,smith,marcus,AZ,D,Senate
S000636,8705,smith,william,TX,D,House
S000702,8765,sparkman,stephen,FL,D,House
S000837,8873,steele,thomas,IA,D,House
S000858,8889,stephens,john,TX,D,House
S000861,8891,stephens,william,CA,O,House
S000954,8976,stone,claudius,IL,D,House
S000968,8989,stone,william,MO,D,Senate
S000982,9003,stout,tom,MT,D,House
T000011,9153,taggart,joseph,KS,D,House
T000059,9193,tavenner,clyde,IL,D,House
T000160,9288,thomas,charles,CO,D,Senate
T000366,9467,tribble,samuel,GA,D,House
W000535,10177,williams,seward,OH,R,House
W000548,10190,williams,william,IL,D,House
W000575,10215,wilson,emmett,FL,D,House
W000662,10298,witherspoon,samuel,MS,D,House
K000233,5290,kirby,william,AR,D,Senate
T000013,9155,taggart,thomas,IN,D,Senate
A000051,44,adamson,william,GA,D,House
A000341,295,austin,richard,TN,R,House
B000018,326,bacon,mark,MI,R,House
B000164,453,barnhart,henry,IN,D,House
B000240,519,bathrick,elsworth,OH,D,House
B000264,539,beakes,samuel,MI,D,House
B000421,676,beshlin,earl,PA,D,House
B000476,721,birch,william,NJ,R,House
B000552,790,bleakley,orrin,PA,R,House
B000643,866,borland,william,MO,D,House
B000846,1047,britt,james,NC,R,House
B000855,1055,brodbeck,andrew,PA,D,House
B000974,1159,bruckner,henry,NY,D,House
C000025,1399,calder,william,NY,R,Senate
C000136,1496,capstick,john,NJ,R,House
C000205,1554,carter,william,MA,R,House
C000218,1567,cary,william,WI,R,House
C000433,1765,clark,henry,PA,R,House
C000490,1817,claypool,horatio,OH,D,House
C000663,1968,comstock,daniel,IN,R,House
C000689,1991,connelly,john,KS,D,House
C000707,2007,conry,michael,NY,D,House
C000748,2043,cooper,edward,WV,R,House
C000840,2119,cox,william,IN,D,House
C000963,2229,culberson,charles,TX,D,Senate
D000008,2301,dale,harry,NY,D,House
D000084,2366,davidson,james,WI,R,House
D000184,2457,decker,perl,MO,D,House
D000258,2516,denton,george,IN,D,House
D000337,2587,dies,martin,TX,D,House
D000348,2598,dillon,charles,SD,R,House
D000374,2621,dixon,lincoln,IN,D,House
D000427,2667,doolittle,dudley,KS,D,House
D000505,2734,drukker,dow,NJ,R,House
E000219,2991,essen,frederick,MO,R,House
F000005,3048,fairchild,george,NY,R,House
F000131,3153,finley,david,SC,D,House
F000165,3183,fitzgerald,john,NY,D,House
F000228,3241,flynn,joseph,NY,D,House
F000295,3297,foss,george,IL,R,House
F000309,3311,foster,martin,IL,D,House
F000333,3332,france,joseph,MD,R,Senate
F000335,3334,francis,george,NY,R,House
F000370,3363,frelinghuysen,joseph,NJ,R,Senate
G000050,3463,gardner,augustus,MA,R,House
G000317,3702,gordon,william,OH,D,House
G000393,3762,gray,edward,NJ,R,House
G000401,3770,gray,oscar,AL,D,House
G000441,3804,gregg,alexander,TX,D,House
G000460,3819,griffin,daniel,NY,D,House
H000104,3985,hamilton,charles,NY,R,House
H000119,3999,hamlin,courtney,MO,D,House
H000389,4230,hayes,everis,CA,R,House
H000433,4271,heaton,robert,PA,R,House
H000455,4286,heintz,victor,OH,R,House
H000459,4289,helgesen,henry,ND,R,House
H000466,4294,helvering,guy,KS,D,House
H000522,4347,hensley,walter,MO,D,House
H000591,4409,hill,ebenezer,CT,R,House
H000620,4435,hilliard,benjamin,CO,D,House
H000645,4454,hitchcock,gilbert,NE,D,Senate
H000726,4524,hollingsworth,david,OH,R,House
H000755,4550,hood,george,NC,D,House
H000829,4617,houston,william,TN,D,House
H000849,4636,howard,william,GA,D,House
H000934,4711,hulbert,george,NY,D,House
J000259,5067,jones,william,VA,D,House
K000035,5115,keating,edward,CO,D,House
K000046,5124,kehoe,james,FL,D,House
K000065,5143,kellogg,frank,MN,R,Senate
K000157,5223,key,john,OH,D,House
K000296,5347,knox,philander,PA,R,Senate
L000006,5403,la follette,william,WA,R,House
L000358,5708,littlepage,adam,WV,D,House
L000385,5730,lobeck,charles,NE,D,House
L000518,5841,lunn,george,NY,D,House
M000170,6016,martin,charles,IL,D,House
M000397,6208,mccumber,porter,ND,R,Senate
M000554,6342,mclemore,atkins,TX,D,House
M000629,6404,meeker,jacob,MO,R,House
M000717,6476,miller,clarence,MN,R,House
M001129,6837,myers,henry,MT,D,Senate
N000059,6887,new,harry,IN,R,Senate
N000156,6975,norton,patrick,ND,R,House
O000117,7098,o'shaunessy,george,RI,D,House
O000071,7058,oliver,daniel,NY,D,House
O000141,7121,overmyer,arthur,OH,D,House
P000014,7152,page,carroll,VT,R,Senate
P000403,7502,poindexter,miles,WA,R,Senate
P000407,7505,polk,albert,DE,D,House
P000420,7516,pomerene,atlee,OH,D,Senate
P000487,7577,powers,caleb,KY,R,House
P000500,7590,pratt,harry,NY,R,House
P000527,7614,price,jesse,MD,D,House
R000309,7950,roberts,edwin,NV,R,House
R000480,8096,rowland,charles,PA,R,House
R000533,8135,russell,joseph,MO,D,House
S000170,8297,scott,george,IA,R,House
S000180,8307,scott,john,PA,R,House
S000274,8390,shackleford,dorsey,MO,D,House
S000343,8452,sherley,joseph,KY,D,House
S000384,8490,shouse,jouett,KS,D,House
S000482,8570,slayden,james,TX,D,House
S000520,8605,smith,charles,NY,D,House
S000657,8726,snook,john,OH,D,House
S000856,8887,stephens,dan,NE,D,House
S000869,8899,sterling,bruce,PA,D,House
S000870,8900,sterling,john,IL,R,House
S001063,9078,sulloway,cyrus,NH,R,House
S001081,9093,sutherland,howard,WV,R,Senate
S001118,9126,swift,oscar,NY,R,House
S001124,9131,switzer,robert,OH,R,House
T000021,9163,talbott,joshua,MD,D,House
T000121,9251,templeton,thomas,PA,R,House
T000330,9434,townsend,charles,MI,R,Senate
W000039,9729,waldow,william,NY,R,House
W000060,9748,walker,john,GA,D,House
W000117,9799,walton,william,NM,D,House
W000370,10023,white,george,OH,D,House
W000521,10165,williams,john,MS,D,Senate
W000669,10304,wolcott,josiah,DE,D,Senate
W000721,10351,woods,frank,IA,R,House
B000052,354,baird,david,NJ,R,Senate
B000360,624,benet,christie,SC,D,Senate
D000495,2725,drew,irving,NH,R,Senate
G000104,3512,gay,edward,LA,D,Senate
G000522,3875,guion,walter,LA,D,Senate
H000477,4305,henderson,charles,NV,D,Senate
M000181,6025,martin,george,KY,D,Senate
M001069,6787,mulkey,frederick,OR,R,Senate
N000169,6986,nugent,john,ID,D,Senate
P000417,7514,pollock,william,SC,D,Senate
W000471,10116,wilfley,xenophon,MO,D,Senate
A000098,86,alexander,joshua,MO,D,House
A000253,203,andrews,william,MD,R,House
B000007,317,babka,john,OH,D,House
B000027,333,baer,john,ND,R,House
B000100,395,ball,lewis,DE,R,Senate
B000110,403,bankhead,john,AL,D,Senate
B000303,573,bee,carlos,TX,D,House
B000387,648,benson,carville,MD,D,House
B000547,787,bland,william,MO,D,House
B000626,850,booher,charles,MO,D,House
B000961,1149,browning,william,NJ,R,House
B000975,1160,brumbaugh,clement,OH,D,House
B001121,1291,burnett,john,AL,D,House
C000030,1404,caldwell,charles,NY,D,House
C000110,1473,candler,ezekiel,MS,D,House
C000151,1508,carlin,charles,VA,D,House
C000437,1769,clark,james,MO,D,House
C000541,1862,coady,charles,MD,D,House
C000651,1957,colt,lebaron,RI,R,Senate
C000796,2082,costello,peter,PA,R,House
C000998,2259,currie,gilbert,MI,R,House
D000256,2514,dent,stanley,AL,D,House
D000288,2536,dewalt,arthur,PA,D,House
D000298,2552,dial,nathaniel,SC,D,Senate
D000423,2664,donovan,jerome,NY,D,House
D000426,2666,dooling,peter,NY,D,House
D000431,2670,doremus,frank,MI,D,House
E000109,2898,elkins,davis,WV,R,Senate
E000145,2934,ellsworth,franklin,MN,R,House
E000171,2959,emerson,henry,OH,R,House
E000212,2988,esch,john,WI,R,House
E000224,2996,estopinal,albert,LA,D,House
E000234,3004,evans,charles,NV,D,House
F000011,3053,fall,albert,NM,R,Senate
F000029,3068,farr,john,PA,R,House
F000091,3119,ferris,scott,OK,D,House
F000164,3182,fitzgerald,john,MA,D,House
F000405,3391,fuller,alvan,MA,R,House
G000018,3435,gallagher,thomas,IL,D,House
G000037,3450,gandy,harry,SD,D,House
G000048,3459,gard,warren,OH,D,House
G000068,3478,garland,mahlon,PA,R,House
G000250,3641,godwin,hannibal,NC,D,House
G000260,3651,goldfogle,henry,NY,D,House
G000276,3665,goodall,louis,ME,R,House
G000304,3689,goodwin,william,AR,D,House
G000474,,grigsby,george,AK,O,House
H000099,3980,hamill,james,NJ,D,House
H000108,3989,hamilton,edward,MI,R,House
H000319,4173,haskell,reuben,NY,R,House
H000461,4291,helm,harvey,KY,D,House
H000532,4356,hernandez,benigno,NM,R,House
H000546,4370,hersman,hugh,CA,D,House
H000610,4427,hill,william,NY,R,House
H000716,4517,holland,edward,VA,D,House
H000939,4716,hulings,willis,PA,R,House
I000005,4794,igoe,william,MO,D,House
J000190,5004,johnston,john,NY,D,House
J000282,5087,juul,niels,IL,R,House
K000104,5178,kennedy,charles,IA,R,House
K000129,5198,kenyon,william,IA,R,Senate
K000155,5221,kettner,william,CA,D,House
L000250,5615,lesher,john,PA,D,House
L000259,5624,lever,asbury,SC,D,House
M000002,5870,maccrate,john,NY,R,House
M000063,5922,maher,james,NY,D,House
M000101,5956,mann,edward,SC,D,House
M000290,6117,mays,james,UT,D,House
M000369,6181,mccormick,joseph,IL,R,Senate
M000450,6254,mcglennon,cornelius,NJ,D,House
M000517,6308,mckiniry,richard,NY,D,House
M000536,6324,mclane,patrick,PA,D,House
M000849,6588,monahan,james,WI,R,House
M000884,6618,moon,john,TN,D,House
M000906,6640,moore,joseph,PA,R,House
M000947,6675,morgan,dick,OK,R,House
N000040,6870,nelson,knute,MN,R,Senate
N000062,6890,newberry,truman,MI,R,Senate
N000088,6915,nicholls,samuel,SC,D,House
N000090,6917,nichols,charles,MI,R,House
O000080,7067,olney,richard,MA,D,House
O000153,7133,owen,robert,OK,D,Senate
P000194,7311,pell,herbert,NY,D,House
P000291,7396,phelan,michael,MA,D,House
P000379,7479,platt,edmund,NY,R,House
R000010,7689,ragsdale,james,SC,D,House
R000027,7704,ramsey,john,NJ,R,House
R000036,7712,randall,charles,CA,O,House
R000038,7714,randall,clifford,WI,R,House
R000298,7941,robbins,edward,PA,R,House
R000348,7987,robinson,leonidas,NC,D,House
R000472,8088,rowan,joseph,NY,D,House
R000476,8092,rowe,frederick,NY,R,House
S000035,8197,sanders,jared,LA,D,House
S000053,8212,sanford,rollin,NY,R,House
S000077,8227,saunders,edward,VA,D,House
S000206,8330,scully,thomas,NJ,D,House
S000235,8356,sells,sam,TN,R,House
S000363,8471,shields,john,TN,D,Senate
S000441,8537,sims,thetus,TN,D,House
S000500,8588,small,john,NC,D,House
S000619,8689,smith,thomas,NY,D,House
S000796,8838,stanley,augustus,KY,D,Senate
S000831,8868,steele,henry,PA,D,House
S000872,8902,sterling,thomas,SD,R,Senate
S001064,,sulzer,charles,AK,O,House
S001121,9129,swindall,charles,OK,R,House
S001129,9136,swope,king,KY,R,House
T000210,9332,thompson,joseph,OK,D,House
V000034,9610,van dyke,carl,MN,D,House
V000086,9661,venable,william,MS,D,House
W000193,9867,watkins,john,LA,D,House
W000206,9878,watson,walter,VA,D,House
W000231,9898,webb,edwin,NC,D,House
W000278,9938,welling,milton,UT,D,House
W000291,9949,welty,benjamin,OH,D,House
W000319,9974,whaley,richard,SC,D,House
W000593,10233,wilson,james,TX,D,House
W000600,10240,wilson,john,PA,D,House
W000624,10263,wilson,william,IL,R,House
Y000004,,yangco,teodoro,PI,O,House
Y000040,10443,young,james,TX,D,House
C000657,1962,comer,braxton,AL,D,Senate
H000192,4059,harding,warren,OH,R,Senate
A000251,201,andrews,william,NE,R,House
A000260,210,ansorge,martin,NY,R,House
A000267,217,appleby,theodore,NJ,R,House
A000326,281,atkeson,william,MO,R,House
B000088,,baldwin,henry,HI,R,House
B000361,625,benham,john,IN,R,House
B000479,724,bird,richard,KS,R,House
B000514,757,blackmon,fred,AL,D,House
B000535,776,blakeney,albert,MD,R,House
B000542,782,bland,oscar,IN,R,House
B000610,840,bond,charles,NY,R,House
B000690,904,bowers,george,WV,R,House
B000769,978,brandegee,frank,CT,R,Senate
B000800,1005,brennan,vincent,MI,R,House
B000840,1042,brinson,samuel,NC,D,House
B000876,1073,brooks,edward,PA,R,House
B000877,1074,brooks,edwin,IL,R,House
B000935,1125,brown,joseph,TN,R,House
B001101,1274,burke,william,PA,R,House
B001138,1306,burroughs,sherman,NH,R,House
B001144,1312,bursum,holm,NM,R,Senate
C000066,1436,cameron,ralph,AZ,R,Senate
C000097,1462,campbell,philip,KS,R,House
C000121,1483,cannon,joseph,IL,R,House
C000295,1638,chandler,thomas,OK,R,House
C000297,1640,chandler,walter,NY,R,House
C000474,1804,classon,david,WI,R,House
C000532,1854,clouse,wynne,TN,R,House
C000579,1895,codd,george,MI,R,House
C000685,1987,connell,charles,PA,R,House
C000770,2063,copley,ira,IL,R,House
C000806,2091,coughlin,clarence,PA,R,House
C000853,2130,crago,thomas,PA,R,House
C000938,2205,crow,william,PA,R,Senate
C000988,2252,cummins,albert,IA,R,Senate
D000276,,de veyra,jaime,PI,O,House
D000347,2597,dillingham,william,VT,R,Senate
D000553,2776,dunn,thomas,NY,R,House
E000030,2834,echols,leonard,WV,R,House
E000161,2949,elston,john,CA,R,House
E000206,2983,ernst,richard,KY,R,Senate
E000256,3020,evans,robert,NE,R,House
F000210,3225,flood,henry,VA,D,House
F000271,3275,fordney,joseph,MI,R,House
F000341,3339,frankhauser,william,MI,R,House
G000004,3422,gahn,harry,OH,R,House
G000123,3528,gensman,lorraine,OK,R,House
G000137,3540,gernerd,fred,PA,R,House
G000275,3664,good,james,IA,R,House
G000308,3693,goodykoontz,wells,WV,R,House
G000342,3723,gould,norman,NY,R,House
H000198,4065,hardy,rufus,TX,D,House
H000227,4092,harreld,john,OK,R,Senate
H000403,4242,hays,edward,MO,R,House
H000510,4336,henry,lewis,NY,R,House
H000540,4364,herrick,manuel,OK,R,House
H000564,4385,hicks,frederick,NY,R,House
H000626,4439,himes,joseph,OH,R,House
H000693,4496,hogan,michael,NY,R,House
H000813,4602,houghton,alanson,NY,R,House
H000900,4683,huck,winnifred,IL,R,House
H000933,4710,hukriede,theodore,MO,R,House
H000949,4725,humphrey,augustin,NE,R,House
H001005,4775,husted,james,NY,R,House
H001012,4781,hutchinson,elijah,NJ,R,House
I000030,4815,ireland,clifford,IL,R,House
J000041,4876,jacoway,henderson,AR,D,House
J000052,4886,james,rorer,VA,D,House
J000067,4901,jefferis,albert,NE,R,House
J000166,4984,johnson,paul,MS,D,House
J000217,5028,jones,evan,PA,R,House
K000004,,kalanianaole,jonah,HI,R,House
K000061,5139,kelley,patrick,MI,R,House
K000100,5174,kennedy,ambrose,RI,R,House
K000221,5278,kinkaid,moses,NE,R,House
K000240,5297,kirkpatrick,william,PA,R,House
K000245,5302,kissel,john,NY,R,House
K000260,5316,kleczka,john,WI,R,House
K000266,5320,kline,ardolph,NY,R,House
K000267,5321,kline,isaac,PA,R,House
K000284,5336,knight,charles,OH,R,House
K000323,5364,kraus,milton,IN,R,House
K000327,5366,kreider,aaron,PA,R,House
L000012,5393,ladd,edwin,ND,R,Senate
L000135,5512,lawrence,henry,MO,R,House
L000151,5527,layton,caleb,DE,R,House
L000207,5571,lee,warren,NY,R,House
L000241,5607,lenroot,irvine,WI,R,Senate
L000408,5751,london,meyer,NY,O,House
L000503,5833,lufkin,willfred,MA,R,House
L000505,5834,luhring,oscar,IN,R,House
M000092,5948,maloney,robert,MA,R,House
M000104,5959,mann,james,IL,R,House
M000228,6065,mason,william,IL,R,House
M000298,6124,mcarthur,clifton,OR,R,House
M000373,6185,mccormick,washington,MT,R,House
M000521,6313,mckinley,william,IL,R,Senate
M000540,6328,mclaughlin,joseph,PA,R,House
M000592,6374,mcpherson,isaac,MO,R,House
M000781,6534,millspaugh,frank,MO,R,House
M000852,6590,mondell,franklin,WY,R,House
M000877,6612,montoya,nestor,NM,R,House
N000029,6861,nelson,adolphus,WI,R,House
N000101,6926,nicholson,samuel,CO,R,Senate
N000124,6947,nolan,john,CA,R,House
N000154,6973,norton,miner,OH,R,House
O000042,7030,ogden,charles,KY,R,House
O000082,7069,olpp,archibald,NJ,R,House
O000143,7123,overstreet,james,GA,D,House
P000012,7150,padgett,lemuel,TN,D,House
P000070,7203,parker,richard,NJ,R,House
P000083,7215,parrish,lucian,TX,D,House
P000143,7268,paul,john,VA,R,House
P000253,7366,peters,john,ME,R,House
P000257,7370,petersen,andrew,NY,R,House
P000542,7628,pringey,joseph,OK,R,House
R000005,7684,radcliffe,amos,NJ,R,House
R000017,7694,rainey,lilius,AL,D,House
R000101,7772,reavis,charles,NE,R,House
R000102,7773,reber,john,PA,R,House
R000190,7846,rhodes,marion,MO,R,House
R000236,7889,ricketts,edwin,OH,R,House
R000237,7890,riddick,carl,MT,R,House
R000318,7957,robertson,alice,OK,R,House
R000371,8007,rodenberg,william,IL,R,House
R000437,8060,rose,john,PA,R,House
R000457,8079,rossdale,albert,NY,R,House
R000494,8103,rucker,william,MO,D,House
R000560,8158,ryan,thomas,NY,R,House
S000181,8308,scott,lon,TN,R,House
S000306,8417,shaw,guy,IL,R,House
S000328,8438,shelton,samuel,MO,R,House
S000404,8505,siegel,isaac,NY,R,House
S000456,8551,sisson,thomas,MS,D,House
S000486,8574,slemp,campbell,VA,R,House
S000730,8790,spencer,selden,MO,R,Senate
S000791,8834,stanfield,robert,OR,R,Senate
S000842,8877,steenerson,halvor,MN,R,House
S000927,8953,stiness,walter,RI,R,House
S000951,8973,stoll,philip,SC,D,House
S001106,9116,sweet,burton,IA,R,House
T000069,9202,taylor,chester,AR,D,House
T000100,9231,taylor,samuel,AR,D,House
T000126,9256,ten eyck,peter,NY,D,House
T000245,9362,thorpe,roy,NE,R,House
U000013,9560,underwood,oscar,AL,D,Senate
V000111,9681,volk,lester,NY,R,House
V000114,9683,volstead,andrew,MN,R,House
W000101,9785,walsh,joseph,MA,R,House
W000205,9877,watson,thomas,GA,D,Senate
W000276,9936,weller,ovington,MD,R,Senate
W000723,10353,woods,james,VA,D,House
B000252,529,bayard,thomas,DE,D,Senate
F000069,3099,felton,rebecca,GA,D,Senate
P000219,7334,pepper,george,PA,R,Senate
R000075,7747,rawson,charles,IA,R,Senate
A000144,126,allen,robert,WV,D,House
A000233,182,anderson,sydney,MN,R,House
B000712,925,boyce,william,DE,D,House
B000954,1142,browne,charles,NJ,D,House
B000972,1157,bruce,william,MD,D,Senate
B001027,1207,buckley,james,IL,D,House
C000126,1488,cantrill,james,KY,D,House
C000430,1762,clark,frank,FL,D,House
C000575,1891,cockran,william,NY,D,House
C000613,1927,cole,raymond,OH,R,House
C000727,2025,cook,samuel,IN,D,House
C000923,2191,croll,william,PA,D,House
C000987,2251,cummings,herbert,PA,D,House
D000093,2375,davis,charles,MN,R,House
D000561,2783,dupre,henry,LA,D,House
E000001,2808,eagan,john,NJ,D,House
E000066,2863,edwards,edward,NJ,D,Senate
E000243,3009,evans,hiram,IA,R,House
F000007,3050,fairfield,louis,IN,R,House
F000048,3083,favrot,george,LA,D,House
F000092,3120,ferris,woodbridge,MI,D,Senate
F000113,3138,fields,william,KY,D,House
F000194,3210,fleetwood,frederick,VT,R,House
F000306,3308,foster,israel,OH,R,House
G000038,3451,ganly,james,NY,D,House
G000133,3537,geran,elmer,NJ,D,House
G000234,3627,glatfelter,samuel,PA,D,House
G000364,3741,graham,william,IL,R,House
G000430,3794,greene,william,MA,R,House
H000759,4554,hooker,james,VA,D,House
H000941,4718,hull,harry,IA,R,House
H000960,4734,humphreys,benjamin,MS,D,House
H000964,4738,humphreys,william,MS,D,House
J000210,5023,jones,andrieus,NM,D,Senate
J000273,5078,jost,henry,MO,D,House
K000003,5090,kahn,julius,CA,R,House
K000250,5307,kitchin,claude,NC,D,House
L000004,5401,la follette,robert,WI,R,Senate
L000104,5483,larson,oscar,MN,R,House
L000171,5537,leach,robert,MA,R,House
L000311,5664,lilly,thomas,WV,D,House
L000349,5699,little,edward,KS,R,House
L000393,5738,lodge,henry,MA,R,Senate
L000406,5749,logan,william,SC,D,House
M000028,5889,maclafferty,james,CA,R,House
M000281,6109,mayfield,earle,TX,D,Senate
M000506,6300,mckenzie,john,IL,R,House
M000547,6335,mclean,george,CT,R,Senate
M000588,6372,mcnulty,frank,NJ,D,House
M000723,6480,miller,edward,IL,R,House
M000789,6542,minahan,daniel,NJ,D,House
M000890,6624,moore,allen,IL,R,House
M000914,6648,moore,robert,GA,D,House
M000928,6659,moores,merrill,IN,R,House
M000981,6708,morris,joseph,KY,D,House
M001041,6762,mott,luther,NY,R,House
M001060,6778,mudd,sydney,MD,R,House
N000125,6948,nolan,mae,CA,R,House
O000008,6997,o'brien,charles,NJ,D,House
O000123,7104,o'sullivan,patrick,CT,D,House
O000112,7093,osborne,henry,CA,R,House
P000024,7162,paige,calvin,MA,R,House
P000051,7185,park,frank,GA,D,House
R000015,7692,rainey,john,IL,D,House
R000020,7697,ralston,samuel,IN,D,Senate
R000118,7786,reed,james,MO,D,Senate
R000127,7794,reed,stuart,WV,R,House
R000211,7866,richards,charles,NV,D,House
R000264,7911,riordan,daniel,NY,D,House
R000289,7933,roach,sidney,MO,R,House
R000441,8064,rosenbloom,benjamin,WV,R,House
S000019,8183,salmon,william,TN,D,House
S000034,8196,sanders,everett,IN,R,House
S000090,8238,sawyer,lewis,AR,D,House
S000355,8463,sherwood,isaac,OH,D,House
S000457,8552,sites,frank,PA,D,House
S000573,8654,smith,john,MI,R,House
S000666,8733,snyder,homer,NY,R,House
S000850,8882,stengle,charles,NY,D,House
T000014,9156,tague,peter,MA,D,House
T000325,9430,towner,horace,IA,R,House
T000455,9547,tyson,john,AL,D,House
W000129,9810,ward,charles,NY,R,House
W000132,9813,ward,hallett,NC,D,House
W000191,9866,watkins,elton,OR,D,House
W000240,9905,webster,john,WA,R,House
W000300,9958,wertz,george,PA,R,House
W000621,10260,wilson,william,IN,D,House
W000639,10277,winslow,samuel,MA,R,House
W000650,10287,wise,james,GA,D,House
W000679,10312,wolff,joseph,MO,D,House
Y000036,10439,young,george,ND,R,House
B001196,1356,butler,william,MA,R,Senate
M000621,6400,means,rice,CO,R,Senate
A000266,216,appleby,stewart,NJ,R,House
B000048,350,bailey,ralph,MO,R,House
B000493,737,bixler,harris,PA,R,House
B000553,791,blease,coleman,SC,D,Senate
C000168,1521,carpenter,edmund,PA,R,House
C000196,1546,carter,charles,OK,D,House
C000391,1724,churchill,george,MA,R,House
C000500,1826,cleary,william,NY,D,House
D000233,2494,deneen,charles,IL,R,Senate
E000044,2844,edge,walter,NJ,R,Senate
F000004,3047,fairchild,benjamin,NY,R,House
F000084,3113,fernald,bert,ME,R,Senate
F000182,3200,flaherty,lawrence,CA,R,House
F000358,3351,fredericks,john,CA,R,House
F000407,3393,fuller,charles,IL,R,House
F000428,3413,funk,frank,IL,R,House
G000201,3599,gillett,frederick,MA,R,Senate
G000254,3645,goff,guy,WV,R,Senate
G000329,3712,gorman,john,IL,R,House
H000446,4280,heflin,james,AL,D,Senate
H000597,4415,hill,john,MD,R,House
J000061,,jarrett,william,HI,D,House
J000118,4942,johnson,ben,KY,D,House
K000057,5135,keller,oscar,MN,R,House
K000234,5291,kirk,andrew,KY,R,House
L000072,5454,langley,john,KY,R,House
L000194,5558,lee,gordon,GA,D,House
L000331,5683,lineberger,walter,CA,R,House
L000348,5698,little,chauncey,KS,D,House
M000046,5906,magee,james,PA,R,House
M000541,6329,mclaughlin,melvin,NE,R,House
M000563,6349,mcmaster,william,SD,R,Senate
M000776,6530,mills,ogden,NY,R,House
M000870,6606,montgomery,samuel,OK,R,House
N000075,6903,newton,cleveland,MO,R,House
P000114,7240,patterson,francis,NJ,R,House
P000239,7352,perlman,nathan,NY,R,House
P000314,7419,phillips,thomas,PA,R,House
P000317,7422,phipps,lawrence,CO,R,Senate
P000360,7461,pine,william,OK,R,Senate
R000019,7696,raker,john,CA,D,House
R000059,7734,ransdell,joseph,LA,D,Senate
R000400,8031,rogers,john,MA,R,House
R000466,8083,rouse,arthur,KY,D,House
S000006,8167,sackett,frederic,KY,R,Senate
S000169,8296,scott,frank,MI,R,House
S000415,8514,simmons,furnifold,NC,D,Senate
S000643,8712,smithwick,john,FL,D,House
S000680,8743,sosnowski,john,MI,R,House
S001097,9109,swartz,joshua,PA,R,House
S001126,9133,swoope,william,PA,R,House
